iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
20,"(26, 3)","(27, 3)",West,"[('(27, 3)', 'East', 1), ('(25, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(26, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(31, 1)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(35, 1)', '(29, 3)', '(31, 3)', '(33, 3)', '(35, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",15,0,15
21,"(25, 3)","(26, 3)",West,"[('(25, 4)', 'North', 1), ('(26, 3)', 'East', 1), ('(24, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(24, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(31, 1)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(29, 3)', '(31, 3)', '(33, 3)', '(35, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",16,0,16
22,"(24, 3)","(25, 3)",West,"[('(25, 3)', 'East', 1), ('(23, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(24, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(31, 1)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(29, 3)', '(31, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",17,0,17
23,"(23, 3)","(24, 3)",West,"[('(23, 2)', 'South', 1), ('(24, 3)', 'East', 1), ('(22, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(22, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(31, 1)', '(23, 3)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(29, 3)', '(31, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",18,0,18
24,"(22, 3)","(23, 3)",West,"[('(23, 3)', 'East', 1), ('(21, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(22, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(21, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(31, 1)', '(23, 3)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(29, 3)', '(31, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",19,0,19
25,"(21, 3)","(22, 3)",West,"[('(22, 3)', 'East', 1), ('(20, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(21, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(20, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(29, 3)', '(31, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",20,0,20
26,"(20, 3)","(21, 3)",West,"[('(21, 3)', 'East', 1), ('(19, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(20, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(19, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",21,0,21
27,"(19, 3)","(20, 3)",West,"[('(20, 3)', 'East', 1), ('(18, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(19, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(18, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",22,0,22
28,"(18, 3)","(19, 3)",West,"[('(19, 3)', 'East', 1), ('(17, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(18, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(17, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",23,0,23
29,"(17, 3)","(18, 3)",West,"[('(18, 3)', 'East', 1), ('(16, 3)', 'West', 1)]","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(17, 3)']","['(35, 4)', '(33, 4)', '(31, 6)', '(27, 4)', '(27, 2)', '(25, 4)', '(23, 2)', '(16, 3)']","['(31, 5)', '(34, 1)', '(28, 3)', '(17, 3)', '(19, 3)', '(32, 3)', '(35, 2)', '(29, 4)', '(31, 4)', '(21, 3)', '(31, 1)', '(23, 3)', '(34, 3)', '(27, 3)', '(30, 5)', '(33, 1)', '(25, 3)', '(35, 1)', '(18, 3)', '(29, 3)', '(31, 3)', '(20, 3)', '(22, 3)', '(33, 3)', '(35, 3)', '(24, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",24,0,24
