iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(2, 3)",START,None,"[('(3, 3)', 'East', 0.125), ('(1, 3)', 'West', 0.5)]","['(2, 3)']","['(3, 3)', '(1, 3)']","['(2, 3)']",0,0,0
2,"(3, 3)","(2, 3)",East,"[('(3, 2)', 'South', 0.125), ('(2, 3)', 'West', 0.25)]","['(3, 3)', '(1, 3)']","['(3, 2)', '(1, 3)']","['(2, 3)', '(3, 3)']",0.125,0,0.125
3,"(3, 2)","(3, 3)",South,"[('(3, 3)', 'North', 0.125), ('(3, 1)', 'South', 0.125)]","['(3, 2)', '(1, 3)']","['(3, 1)', '(1, 3)']","['(2, 3)', '(3, 2)', '(3, 3)']",0.25,0,0.25
4,"(3, 1)","(3, 2)",South,"[('(3, 2)', 'North', 0.125), ('(2, 1)', 'West', 0.25)]","['(3, 1)', '(1, 3)']","['(1, 3)', '(2, 1)']","['(2, 3)', '(3, 2)', '(3, 3)', '(3, 1)']",0.375,0,0.375
5,"(1, 3)","(2, 3)",West,"[('(2, 3)', 'East', 0.25)]","['(1, 3)', '(2, 1)']","['(2, 1)']","['(3, 1)', '(2, 3)', '(3, 3)', '(3, 2)', '(1, 3)']",0.5,0,0.5
6,"(2, 1)","(3, 1)",West,"[('(3, 1)', 'East', 0.125), ('(1, 1)', 'West', 0.5)]","['(2, 1)']","['(1, 1)']","['(2, 1)', '(3, 1)', '(2, 3)', '(3, 3)', '(3, 2)', '(1, 3)']",0.625,0,0.625
7,"(1, 1)","(2, 1)",West,[],"['(1, 1)']",[],"['(2, 1)', '(3, 1)', '(2, 3)', '(3, 3)', '(3, 2)', '(1, 3)']",1.125,0,1.125
