iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
15,"(31, 4)","(31, 3)",North,"[('(31, 5)', 'North', 1), ('(31, 3)', 'South', 1)]","['(33, 7)', '(31, 2)', '(31, 4)']","['(31, 5)', '(33, 7)', '(31, 2)']","['(33, 1)', '(35, 4)', '(34, 1)', '(35, 1)', '(31, 4)', '(32, 3)', '(33, 3)', '(34, 3)', '(33, 6)', '(35, 3)', '(31, 3)', '(33, 5)', '(35, 2)', '(35, 5)', '(33, 4)']",7,0,7
16,"(31, 2)","(31, 3)",South,"[('(31, 3)', 'North', 1), ('(31, 1)', 'South', 1)]","['(31, 5)', '(33, 7)', '(31, 2)']","['(31, 1)', '(31, 5)', '(33, 7)']","['(33, 1)', '(35, 4)', '(34, 1)', '(35, 1)', '(31, 4)', '(31, 2)', '(32, 3)', '(33, 3)', '(34, 3)', '(33, 6)', '(35, 3)', '(31, 3)', '(33, 5)', '(35, 2)', '(35, 5)', '(33, 4)']",7,0,7
17,"(33, 7)","(33, 6)",North,"[('(33, 6)', 'South', 1), ('(34, 7)', 'East', 1)]","['(31, 1)', '(31, 5)', '(33, 7)']","['(34, 7)', '(31, 1)', '(31, 5)']","['(33, 1)', '(33, 7)', '(35, 4)', '(34, 1)', '(35, 1)', '(31, 4)', '(31, 2)', '(32, 3)', '(33, 3)', '(34, 3)', '(33, 6)', '(35, 3)', '(31, 3)', '(33, 5)', '(35, 2)', '(35, 5)', '(33, 4)']",8,0,8
18,"(31, 5)","(31, 4)",North,"[('(31, 6)', 'North', 1), ('(31, 4)', 'South', 1), ('(30, 5)', 'West', 1)]","['(34, 7)', '(31, 1)', '(31, 5)']","['(30, 5)', '(31, 6)', '(34, 7)', '(31, 1)']","['(31, 5)', '(33, 1)', '(33, 7)', '(35, 4)', '(34, 1)', '(35, 1)', '(31, 4)', '(31, 2)', '(32, 3)', '(33, 3)', '(34, 3)', '(33, 6)', '(35, 3)', '(31, 3)', '(33, 5)', '(35, 2)', '(35, 5)', '(33, 4)']",8,0,8
19,"(31, 1)","(31, 2)",South,"[('(31, 2)', 'North', 1)]","['(30, 5)', '(31, 6)', '(34, 7)', '(31, 1)']","['(30, 5)', '(31, 6)', '(34, 7)']","['(31, 5)', '(34, 1)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(31, 4)', '(31, 1)', '(34, 3)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(31, 3)', '(33, 3)', '(33, 6)', '(35, 3)', '(31, 2)']",8,0,8
20,"(34, 7)","(33, 7)",East,"[('(35, 7)', 'East', 1), ('(33, 7)', 'West', 1)]","['(30, 5)', '(31, 6)', '(34, 7)']","['(35, 7)', '(30, 5)', '(31, 6)']","['(31, 5)', '(34, 1)', '(34, 7)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(31, 4)', '(31, 1)', '(34, 3)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(31, 3)', '(33, 3)', '(33, 6)', '(35, 3)', '(31, 2)']",9,0,9
21,"(31, 6)","(31, 5)",North,"[('(31, 7)', 'North', 1), ('(31, 5)', 'South', 1)]","['(35, 7)', '(30, 5)', '(31, 6)']","['(31, 7)', '(35, 7)', '(30, 5)']","['(31, 5)', '(34, 1)', '(34, 7)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(31, 4)', '(31, 1)', '(34, 3)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(31, 6)', '(31, 3)', '(33, 3)', '(33, 6)', '(35, 3)', '(31, 2)']",9,0,9
22,"(30, 5)","(31, 5)",West,"[('(31, 5)', 'East', 1), ('(29, 5)', 'West', 1)]","['(31, 7)', '(35, 7)', '(30, 5)']","['(29, 5)', '(31, 7)', '(35, 7)']","['(31, 5)', '(34, 1)', '(34, 7)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(31, 4)', '(31, 1)', '(34, 3)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(31, 6)', '(31, 3)', '(33, 3)', '(33, 6)', '(35, 3)', '(31, 2)']",9,0,9
23,"(35, 7)","(34, 7)",East,"[('(34, 7)', 'West', 1)]","['(29, 5)', '(31, 7)', '(35, 7)']","['(29, 5)', '(31, 7)']","['(31, 5)', '(34, 1)', '(34, 7)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(31, 4)', '(31, 1)', '(34, 3)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(31, 6)', '(31, 3)', '(33, 3)', '(33, 6)', '(35, 3)', '(31, 2)']",10,0,10
24,"(31, 7)","(31, 6)",North,"[('(31, 8)', 'North', 1), ('(31, 6)', 'South', 1)]","['(29, 5)', '(31, 7)']","['(31, 8)', '(29, 5)']","['(31, 5)', '(34, 1)', '(34, 7)', '(33, 5)', '(32, 3)', '(35, 2)', '(35, 5)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(31, 6)', '(31, 3)', '(33, 3)', '(33, 6)', '(35, 3)', '(31, 2)']",10,0,10
