iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
132,"(21, 13)","(20, 13)",East,"[('(21, 14)', 'North', 1), ('(21, 12)', 'South', 1), ('(20, 13)', 'West', 1)]","['(18, 9)', '(21, 13)']","['(21, 12)', '(21, 14)', '(18, 9)']","['(34, 1)', '(27, 4)', '(28, 3)', '(17, 3)', '(14, 13)', '(17, 12)', '(32, 3)', '(15, 5)', '(29, 4)', '(16, 13)', '(21, 9)', '(34, 3)', '(27, 6)', '(17, 5)', '(30, 11)', '(19, 11)', '(35, 1)', '(24, 1)', '(35, 10)', '(15, 7)', '(18, 3)', '(22, 3)', '(28, 7)', '(17, 7)', '(33, 6)', '(35, 3)', '(24, 3)', '(13, 3)', '(15, 9)', '(18, 5)', '(31, 8)', '(34, 7)', '(27, 1)', '(17, 9)', '(32, 9)', '(35, 5)', '(24, 5)', '(25, 4)', '(15, 2)', '(16, 1)', '(13, 5)', '(15, 11)', '(31, 1)', '(20, 1)', '(31, 10)', '(34, 9)', '(22, 7)', '(14, 3)', '(17, 11)', '(33, 1)', '(33, 10)', '(35, 7)', '(24, 7)', '(25, 6)', '(16, 3)', '(15, 4)', '(13, 7)', '(15, 13)', '(31, 3)', '(20, 3)', '(23, 8)', '(33, 3)', '(19, 13)', '(35, 9)', '(24, 9)', '(16, 5)', '(29, 8)', '(31, 5)', '(23, 1)', '(21, 13)', '(14, 7)', '(33, 5)', '(35, 2)', '(25, 1)', '(35, 11)', '(16, 7)', '(29, 1)', '(31, 7)', '(21, 6)', '(23, 3)', '(27, 3)', '(33, 7)', '(35, 4)', '(13, 4)', '(25, 3)', '(29, 3)', '(31, 9)', '(21, 8)', '(23, 5)', '(27, 5)', '(19, 1)', '(17, 13)', '(33, 9)', '(25, 5)', '(29, 5)', '(31, 2)', '(21, 1)', '(31, 11)', '(23, 7)', '(27, 7)', '(17, 6)', '(19, 3)', '(19, 12)', '(33, 11)', '(25, 7)', '(15, 8)', '(29, 7)', '(31, 4)', '(22, 1)', '(21, 3)', '(20, 13)', '(18, 13)', '(23, 9)', '(30, 5)', '(33, 4)', '(19, 5)', '(25, 9)', '(15, 1)', '(15, 10)', '(29, 9)', '(31, 6)', '(21, 5)', '(23, 2)', '(27, 2)', '(28, 1)', '(17, 1)', '(17, 10)', '(26, 3)', '(15, 3)', '(15, 12)', '(29, 11)', '(21, 7)']",46,0,46
133,"(18, 9)","(17, 9)",East,"[('(19, 9)', 'East', 1), ('(17, 9)', 'West', 1)]","['(21, 12)', '(21, 14)', '(18, 9)']","['(19, 9)', '(21, 12)', '(21, 14)']","['(34, 1)', '(27, 4)', '(28, 3)', '(17, 3)', '(14, 13)', '(17, 12)', '(32, 3)', '(15, 5)', '(29, 4)', '(16, 13)', '(21, 9)', '(34, 3)', '(27, 6)', '(17, 5)', '(30, 11)', '(19, 11)', '(35, 1)', '(24, 1)', '(35, 10)', '(15, 7)', '(18, 3)', '(22, 3)', '(28, 7)', '(17, 7)', '(33, 6)', '(35, 3)', '(24, 3)', '(13, 3)', '(15, 9)', '(18, 5)', '(31, 8)', '(34, 7)', '(27, 1)', '(17, 9)', '(32, 9)', '(35, 5)', '(24, 5)', '(25, 4)', '(15, 2)', '(16, 1)', '(13, 5)', '(15, 11)', '(31, 1)', '(20, 1)', '(31, 10)', '(34, 9)', '(22, 7)', '(14, 3)', '(17, 11)', '(33, 1)', '(33, 10)', '(35, 7)', '(24, 7)', '(25, 6)', '(16, 3)', '(15, 4)', '(13, 7)', '(15, 13)', '(18, 9)', '(31, 3)', '(20, 3)', '(23, 8)', '(33, 3)', '(19, 13)', '(35, 9)', '(24, 9)', '(16, 5)', '(29, 8)', '(31, 5)', '(23, 1)', '(21, 13)', '(14, 7)', '(33, 5)', '(35, 2)', '(25, 1)', '(35, 11)', '(16, 7)', '(29, 1)', '(31, 7)', '(21, 6)', '(23, 3)', '(27, 3)', '(33, 7)', '(35, 4)', '(13, 4)', '(25, 3)', '(29, 3)', '(31, 9)', '(21, 8)', '(23, 5)', '(27, 5)', '(19, 1)', '(17, 13)', '(33, 9)', '(25, 5)', '(29, 5)', '(31, 2)', '(21, 1)', '(31, 11)', '(23, 7)', '(27, 7)', '(17, 6)', '(19, 3)', '(19, 12)', '(33, 11)', '(25, 7)', '(15, 8)', '(29, 7)', '(31, 4)', '(22, 1)', '(21, 3)', '(20, 13)', '(18, 13)', '(23, 9)', '(30, 5)', '(33, 4)', '(19, 5)', '(25, 9)', '(15, 1)', '(15, 10)', '(29, 9)', '(31, 6)', '(21, 5)', '(23, 2)', '(27, 2)', '(28, 1)', '(17, 1)', '(17, 10)', '(26, 3)', '(15, 3)', '(15, 12)', '(29, 11)', '(21, 7)']",47,0,47
134,"(21, 14)","(21, 13)",North,"[('(21, 15)', 'North', 1), ('(21, 13)', 'South', 1)]","['(19, 9)', '(21, 12)', '(21, 14)']","['(21, 15)', '(19, 9)', '(21, 12)']","['(34, 1)', '(27, 4)', '(28, 3)', '(17, 3)', '(14, 13)', '(17, 12)', '(32, 3)', '(15, 5)', '(29, 4)', '(16, 13)', '(21, 9)', '(34, 3)', '(27, 6)', '(17, 5)', '(30, 11)', '(19, 11)', '(35, 1)', '(24, 1)', '(35, 10)', '(15, 7)', '(18, 3)', '(22, 3)', '(28, 7)', '(17, 7)', '(33, 6)', '(35, 3)', '(24, 3)', '(13, 3)', '(15, 9)', '(18, 5)', '(31, 8)', '(34, 7)', '(27, 1)', '(17, 9)', '(32, 9)', '(35, 5)', '(24, 5)', '(25, 4)', '(15, 2)', '(16, 1)', '(13, 5)', '(15, 11)', '(31, 1)', '(20, 1)', '(31, 10)', '(34, 9)', '(22, 7)', '(14, 3)', '(17, 11)', '(33, 1)', '(33, 10)', '(35, 7)', '(24, 7)', '(25, 6)', '(16, 3)', '(15, 4)', '(13, 7)', '(15, 13)', '(18, 9)', '(31, 3)', '(20, 3)', '(23, 8)', '(33, 3)', '(19, 13)', '(35, 9)', '(24, 9)', '(16, 5)', '(29, 8)', '(31, 5)', '(23, 1)', '(21, 13)', '(14, 7)', '(33, 5)', '(35, 2)', '(25, 1)', '(35, 11)', '(16, 7)', '(29, 1)', '(31, 7)', '(21, 6)', '(23, 3)', '(27, 3)', '(33, 7)', '(35, 4)', '(13, 4)', '(25, 3)', '(29, 3)', '(31, 9)', '(21, 8)', '(23, 5)', '(27, 5)', '(19, 1)', '(17, 13)', '(33, 9)', '(25, 5)', '(29, 5)', '(31, 2)', '(21, 1)', '(31, 11)', '(23, 7)', '(27, 7)', '(17, 6)', '(19, 3)', '(19, 12)', '(33, 11)', '(25, 7)', '(15, 8)', '(29, 7)', '(31, 4)', '(22, 1)', '(21, 3)', '(20, 13)', '(18, 13)', '(23, 9)', '(30, 5)', '(33, 4)', '(19, 5)', '(25, 9)', '(15, 1)', '(15, 10)', '(29, 9)', '(31, 6)', '(21, 5)', '(23, 2)', '(21, 14)', '(27, 2)', '(28, 1)', '(17, 1)', '(17, 10)', '(26, 3)', '(15, 3)', '(15, 12)', '(29, 11)', '(21, 7)']",47,0,47
135,"(21, 12)","(21, 13)",South,"[('(21, 13)', 'North', 1), ('(21, 11)', 'South', 1)]","['(21, 15)', '(19, 9)', '(21, 12)']","['(21, 11)', '(21, 15)', '(19, 9)']","['(34, 1)', '(27, 4)', '(28, 3)', '(17, 3)', '(14, 13)', '(17, 12)', '(32, 3)', '(15, 5)', '(29, 4)', '(16, 13)', '(21, 9)', '(34, 3)', '(27, 6)', '(17, 5)', '(30, 11)', '(19, 11)', '(35, 1)', '(24, 1)', '(35, 10)', '(15, 7)', '(18, 3)', '(22, 3)', '(28, 7)', '(17, 7)', '(33, 6)', '(35, 3)', '(24, 3)', '(13, 3)', '(15, 9)', '(18, 5)', '(31, 8)', '(34, 7)', '(27, 1)', '(17, 9)', '(32, 9)', '(35, 5)', '(24, 5)', '(25, 4)', '(15, 2)', '(16, 1)', '(13, 5)', '(15, 11)', '(31, 1)', '(20, 1)', '(31, 10)', '(34, 9)', '(22, 7)', '(14, 3)', '(17, 11)', '(33, 1)', '(33, 10)', '(35, 7)', '(24, 7)', '(25, 6)', '(16, 3)', '(15, 4)', '(13, 7)', '(15, 13)', '(18, 9)', '(31, 3)', '(20, 3)', '(23, 8)', '(33, 3)', '(19, 13)', '(35, 9)', '(24, 9)', '(16, 5)', '(29, 8)', '(31, 5)', '(23, 1)', '(21, 13)', '(14, 7)', '(33, 5)', '(35, 2)', '(25, 1)', '(35, 11)', '(16, 7)', '(29, 1)', '(31, 7)', '(21, 6)', '(23, 3)', '(27, 3)', '(33, 7)', '(35, 4)', '(13, 4)', '(25, 3)', '(29, 3)', '(31, 9)', '(21, 8)', '(23, 5)', '(27, 5)', '(19, 1)', '(17, 13)', '(33, 9)', '(25, 5)', '(29, 5)', '(31, 2)', '(21, 1)', '(31, 11)', '(23, 7)', '(27, 7)', '(17, 6)', '(19, 3)', '(19, 12)', '(33, 11)', '(25, 7)', '(15, 8)', '(29, 7)', '(31, 4)', '(22, 1)', '(21, 3)', '(20, 13)', '(18, 13)', '(21, 12)', '(23, 9)', '(30, 5)', '(33, 4)', '(19, 5)', '(25, 9)', '(15, 1)', '(15, 10)', '(29, 9)', '(31, 6)', '(21, 5)', '(23, 2)', '(21, 14)', '(27, 2)', '(28, 1)', '(17, 1)', '(17, 10)', '(26, 3)', '(15, 3)', '(15, 12)', '(29, 11)', '(21, 7)']",47,0,47
136,"(19, 9)","(18, 9)",East,"[('(19, 8)', 'South', 1), ('(18, 9)', 'West', 1)]","['(21, 11)', '(21, 15)', '(19, 9)']","['(19, 8)', '(21, 11)', '(21, 15)']","['(34, 1)', '(27, 4)', '(28, 3)', '(17, 3)', '(14, 13)', '(17, 12)', '(19, 9)', '(32, 3)', '(15, 5)', '(29, 4)', '(16, 13)', '(21, 9)', '(34, 3)', '(27, 6)', '(17, 5)', '(30, 11)', '(19, 11)', '(35, 1)', '(24, 1)', '(35, 10)', '(15, 7)', '(18, 3)', '(22, 3)', '(28, 7)', '(17, 7)', '(33, 6)', '(35, 3)', '(24, 3)', '(13, 3)', '(15, 9)', '(18, 5)', '(31, 8)', '(34, 7)', '(27, 1)', '(17, 9)', '(32, 9)', '(35, 5)', '(24, 5)', '(25, 4)', '(15, 2)', '(16, 1)', '(13, 5)', '(15, 11)', '(31, 1)', '(20, 1)', '(31, 10)', '(34, 9)', '(22, 7)', '(14, 3)', '(17, 11)', '(33, 1)', '(33, 10)', '(35, 7)', '(24, 7)', '(25, 6)', '(16, 3)', '(15, 4)', '(13, 7)', '(15, 13)', '(18, 9)', '(31, 3)', '(20, 3)', '(23, 8)', '(33, 3)', '(19, 13)', '(35, 9)', '(24, 9)', '(16, 5)', '(29, 8)', '(31, 5)', '(23, 1)', '(21, 13)', '(14, 7)', '(33, 5)', '(35, 2)', '(25, 1)', '(35, 11)', '(16, 7)', '(29, 1)', '(31, 7)', '(21, 6)', '(23, 3)', '(27, 3)', '(33, 7)', '(35, 4)', '(13, 4)', '(25, 3)', '(29, 3)', '(31, 9)', '(21, 8)', '(23, 5)', '(27, 5)', '(19, 1)', '(17, 13)', '(33, 9)', '(25, 5)', '(29, 5)', '(31, 2)', '(21, 1)', '(31, 11)', '(23, 7)', '(27, 7)', '(17, 6)', '(19, 3)', '(19, 12)', '(33, 11)', '(25, 7)', '(15, 8)', '(29, 7)', '(31, 4)', '(22, 1)', '(21, 3)', '(20, 13)', '(18, 13)', '(21, 12)', '(23, 9)', '(30, 5)', '(33, 4)', '(19, 5)', '(25, 9)', '(15, 1)', '(15, 10)', '(29, 9)', '(31, 6)', '(21, 5)', '(23, 2)', '(21, 14)', '(27, 2)', '(28, 1)', '(17, 1)', '(17, 10)', '(26, 3)', '(15, 3)', '(15, 12)', '(29, 11)', '(21, 7)']",48,0,48
137,"(21, 15)","(21, 14)",North,"[('(21, 14)', 'South', 1), ('(22, 15)', 'East', 1)]","['(19, 8)', '(21, 11)', '(21, 15)']","['(22, 15)', '(19, 8)', '(21, 11)']","['(34, 1)', '(27, 4)', '(28, 3)', '(17, 3)', '(14, 13)', '(17, 12)', '(19, 9)', '(32, 3)', '(15, 5)', '(29, 4)', '(16, 13)', '(21, 9)', '(34, 3)', '(27, 6)', '(17, 5)', '(30, 11)', '(19, 11)', '(35, 1)', '(24, 1)', '(35, 10)', '(15, 7)', '(18, 3)', '(22, 3)', '(28, 7)', '(17, 7)', '(33, 6)', '(35, 3)', '(24, 3)', '(13, 3)', '(15, 9)', '(18, 5)', '(31, 8)', '(34, 7)', '(27, 1)', '(17, 9)', '(32, 9)', '(35, 5)', '(24, 5)', '(25, 4)', '(15, 2)', '(16, 1)', '(13, 5)', '(15, 11)', '(31, 1)', '(20, 1)', '(31, 10)', '(34, 9)', '(22, 7)', '(14, 3)', '(17, 11)', '(33, 1)', '(33, 10)', '(35, 7)', '(24, 7)', '(25, 6)', '(16, 3)', '(15, 4)', '(13, 7)', '(15, 13)', '(18, 9)', '(31, 3)', '(20, 3)', '(23, 8)', '(33, 3)', '(19, 13)', '(35, 9)', '(24, 9)', '(16, 5)', '(29, 8)', '(31, 5)', '(23, 1)', '(21, 13)', '(14, 7)', '(33, 5)', '(35, 2)', '(25, 1)', '(35, 11)', '(16, 7)', '(29, 1)', '(31, 7)', '(21, 6)', '(23, 3)', '(21, 15)', '(27, 3)', '(33, 7)', '(35, 4)', '(13, 4)', '(25, 3)', '(29, 3)', '(31, 9)', '(21, 8)', '(23, 5)', '(27, 5)', '(19, 1)', '(17, 13)', '(33, 9)', '(25, 5)', '(29, 5)', '(31, 2)', '(21, 1)', '(31, 11)', '(23, 7)', '(27, 7)', '(17, 6)', '(19, 3)', '(19, 12)', '(33, 11)', '(25, 7)', '(15, 8)', '(29, 7)', '(31, 4)', '(22, 1)', '(21, 3)', '(20, 13)', '(18, 13)', '(21, 12)', '(23, 9)', '(30, 5)', '(33, 4)', '(19, 5)', '(25, 9)', '(15, 1)', '(15, 10)', '(29, 9)', '(31, 6)', '(21, 5)', '(23, 2)', '(21, 14)', '(27, 2)', '(28, 1)', '(17, 1)', '(17, 10)', '(26, 3)', '(15, 3)', '(15, 12)', '(29, 11)', '(21, 7)']",48,0,48
138,"(21, 11)","(21, 12)",South,"[('(21, 12)', 'North', 1), ('(22, 11)', 'East', 1)]","['(22, 15)', '(19, 8)', '(21, 11)']","['(22, 11)', '(22, 15)', '(19, 8)']","['(34, 1)', '(27, 4)', '(28, 3)', '(17, 3)', '(14, 13)', '(17, 12)', '(19, 9)', '(32, 3)', '(15, 5)', '(29, 4)', '(16, 13)', '(21, 9)', '(34, 3)', '(27, 6)', '(17, 5)', '(30, 11)', '(19, 11)', '(35, 1)', '(24, 1)', '(35, 10)', '(15, 7)', '(18, 3)', '(22, 3)', '(28, 7)', '(17, 7)', '(33, 6)', '(35, 3)', '(24, 3)', '(13, 3)', '(15, 9)', '(18, 5)', '(31, 8)', '(34, 7)', '(27, 1)', '(17, 9)', '(32, 9)', '(35, 5)', '(24, 5)', '(25, 4)', '(15, 2)', '(16, 1)', '(13, 5)', '(15, 11)', '(31, 1)', '(20, 1)', '(31, 10)', '(34, 9)', '(22, 7)', '(14, 3)', '(17, 11)', '(33, 1)', '(33, 10)', '(35, 7)', '(24, 7)', '(25, 6)', '(16, 3)', '(15, 4)', '(13, 7)', '(15, 13)', '(18, 9)', '(31, 3)', '(20, 3)', '(21, 11)', '(23, 8)', '(33, 3)', '(19, 13)', '(35, 9)', '(24, 9)', '(16, 5)', '(29, 8)', '(31, 5)', '(23, 1)', '(21, 13)', '(14, 7)', '(33, 5)', '(35, 2)', '(25, 1)', '(35, 11)', '(16, 7)', '(29, 1)', '(31, 7)', '(21, 6)', '(23, 3)', '(21, 15)', '(27, 3)', '(33, 7)', '(35, 4)', '(13, 4)', '(25, 3)', '(29, 3)', '(31, 9)', '(21, 8)', '(23, 5)', '(27, 5)', '(19, 1)', '(17, 13)', '(33, 9)', '(25, 5)', '(29, 5)', '(31, 2)', '(21, 1)', '(31, 11)', '(23, 7)', '(27, 7)', '(17, 6)', '(19, 3)', '(19, 12)', '(33, 11)', '(25, 7)', '(15, 8)', '(29, 7)', '(31, 4)', '(22, 1)', '(21, 3)', '(20, 13)', '(18, 13)', '(21, 12)', '(23, 9)', '(30, 5)', '(33, 4)', '(19, 5)', '(25, 9)', '(15, 1)', '(15, 10)', '(29, 9)', '(31, 6)', '(21, 5)', '(23, 2)', '(21, 14)', '(27, 2)', '(28, 1)', '(17, 1)', '(17, 10)', '(26, 3)', '(15, 3)', '(15, 12)', '(29, 11)', '(21, 7)']",48,0,48
139,"(19, 8)","(19, 9)",South,"[('(19, 9)', 'North', 1), ('(19, 7)', 'South', 1)]","['(22, 11)', '(22, 15)', '(19, 8)']","['(19, 7)', '(22, 11)', '(22, 15)']","['(34, 1)', '(27, 4)', '(28, 3)', '(17, 3)', '(14, 13)', '(17, 12)', '(19, 9)', '(32, 3)', '(15, 5)', '(29, 4)', '(16, 13)', '(21, 9)', '(34, 3)', '(27, 6)', '(17, 5)', '(30, 11)', '(19, 11)', '(35, 1)', '(24, 1)', '(35, 10)', '(15, 7)', '(18, 3)', '(22, 3)', '(28, 7)', '(17, 7)', '(33, 6)', '(35, 3)', '(24, 3)', '(13, 3)', '(15, 9)', '(18, 5)', '(31, 8)', '(34, 7)', '(27, 1)', '(17, 9)', '(32, 9)', '(35, 5)', '(24, 5)', '(25, 4)', '(15, 2)', '(16, 1)', '(13, 5)', '(15, 11)', '(31, 1)', '(20, 1)', '(31, 10)', '(34, 9)', '(22, 7)', '(14, 3)', '(17, 11)', '(33, 1)', '(33, 10)', '(35, 7)', '(24, 7)', '(25, 6)', '(16, 3)', '(15, 4)', '(13, 7)', '(15, 13)', '(18, 9)', '(31, 3)', '(20, 3)', '(21, 11)', '(23, 8)', '(33, 3)', '(19, 13)', '(35, 9)', '(24, 9)', '(16, 5)', '(29, 8)', '(31, 5)', '(23, 1)', '(21, 13)', '(14, 7)', '(33, 5)', '(35, 2)', '(25, 1)', '(35, 11)', '(16, 7)', '(29, 1)', '(31, 7)', '(21, 6)', '(23, 3)', '(21, 15)', '(27, 3)', '(19, 8)', '(33, 7)', '(35, 4)', '(13, 4)', '(25, 3)', '(29, 3)', '(31, 9)', '(21, 8)', '(23, 5)', '(27, 5)', '(19, 1)', '(17, 13)', '(33, 9)', '(25, 5)', '(29, 5)', '(31, 2)', '(21, 1)', '(31, 11)', '(23, 7)', '(27, 7)', '(17, 6)', '(19, 3)', '(19, 12)', '(33, 11)', '(25, 7)', '(15, 8)', '(29, 7)', '(31, 4)', '(22, 1)', '(21, 3)', '(20, 13)', '(18, 13)', '(21, 12)', '(23, 9)', '(30, 5)', '(33, 4)', '(19, 5)', '(25, 9)', '(15, 1)', '(15, 10)', '(29, 9)', '(31, 6)', '(21, 5)', '(23, 2)', '(21, 14)', '(27, 2)', '(28, 1)', '(17, 1)', '(17, 10)', '(26, 3)', '(15, 3)', '(15, 12)', '(29, 11)', '(21, 7)']",49,0,49
140,"(22, 15)","(21, 15)",East,"[('(23, 15)', 'East', 1), ('(21, 15)', 'West', 1)]","['(19, 7)', '(22, 11)', '(22, 15)']","['(23, 15)', '(19, 7)', '(22, 11)']","['(34, 1)', '(27, 4)', '(28, 3)', '(17, 3)', '(14, 13)', '(17, 12)', '(19, 9)', '(32, 3)', '(15, 5)', '(29, 4)', '(16, 13)', '(21, 9)', '(34, 3)', '(27, 6)', '(17, 5)', '(30, 11)', '(19, 11)', '(35, 1)', '(24, 1)', '(35, 10)', '(15, 7)', '(18, 3)', '(22, 3)', '(28, 7)', '(17, 7)', '(33, 6)', '(35, 3)', '(24, 3)', '(13, 3)', '(15, 9)', '(18, 5)', '(31, 8)', '(34, 7)', '(27, 1)', '(17, 9)', '(32, 9)', '(35, 5)', '(24, 5)', '(25, 4)', '(15, 2)', '(16, 1)', '(13, 5)', '(15, 11)', '(31, 1)', '(20, 1)', '(31, 10)', '(34, 9)', '(22, 7)', '(14, 3)', '(17, 11)', '(33, 1)', '(33, 10)', '(35, 7)', '(24, 7)', '(25, 6)', '(16, 3)', '(15, 4)', '(13, 7)', '(15, 13)', '(18, 9)', '(31, 3)', '(20, 3)', '(21, 11)', '(23, 8)', '(33, 3)', '(19, 13)', '(35, 9)', '(24, 9)', '(16, 5)', '(29, 8)', '(31, 5)', '(23, 1)', '(21, 13)', '(14, 7)', '(33, 5)', '(35, 2)', '(25, 1)', '(35, 11)', '(16, 7)', '(29, 1)', '(31, 7)', '(21, 6)', '(23, 3)', '(21, 15)', '(27, 3)', '(19, 8)', '(33, 7)', '(35, 4)', '(13, 4)', '(25, 3)', '(29, 3)', '(31, 9)', '(21, 8)', '(23, 5)', '(27, 5)', '(19, 1)', '(17, 13)', '(33, 9)', '(25, 5)', '(29, 5)', '(31, 2)', '(21, 1)', '(31, 11)', '(23, 7)', '(27, 7)', '(17, 6)', '(19, 3)', '(19, 12)', '(33, 11)', '(25, 7)', '(15, 8)', '(29, 7)', '(31, 4)', '(22, 1)', '(21, 3)', '(20, 13)', '(18, 13)', '(21, 12)', '(23, 9)', '(30, 5)', '(33, 4)', '(19, 5)', '(25, 9)', '(15, 1)', '(15, 10)', '(29, 9)', '(31, 6)', '(21, 5)', '(23, 2)', '(21, 14)', '(27, 2)', '(28, 1)', '(17, 1)', '(22, 15)', '(17, 10)', '(26, 3)', '(15, 3)', '(15, 12)', '(29, 11)', '(21, 7)']",49,0,49
141,"(22, 11)","(21, 11)",East,"[('(23, 11)', 'East', 1), ('(21, 11)', 'West', 1)]","['(23, 15)', '(19, 7)', '(22, 11)']","['(23, 11)', '(23, 15)', '(19, 7)']","['(34, 1)', '(27, 4)', '(28, 3)', '(17, 3)', '(14, 13)', '(17, 12)', '(19, 9)', '(32, 3)', '(15, 5)', '(29, 4)', '(16, 13)', '(21, 9)', '(34, 3)', '(27, 6)', '(17, 5)', '(30, 11)', '(19, 11)', '(35, 1)', '(24, 1)', '(35, 10)', '(15, 7)', '(18, 3)', '(22, 3)', '(28, 7)', '(17, 7)', '(33, 6)', '(35, 3)', '(24, 3)', '(13, 3)', '(15, 9)', '(18, 5)', '(31, 8)', '(34, 7)', '(27, 1)', '(17, 9)', '(32, 9)', '(35, 5)', '(24, 5)', '(25, 4)', '(15, 2)', '(16, 1)', '(13, 5)', '(15, 11)', '(31, 1)', '(20, 1)', '(31, 10)', '(34, 9)', '(22, 7)', '(14, 3)', '(17, 11)', '(33, 1)', '(33, 10)', '(35, 7)', '(24, 7)', '(25, 6)', '(16, 3)', '(15, 4)', '(13, 7)', '(15, 13)', '(18, 9)', '(31, 3)', '(20, 3)', '(21, 11)', '(23, 8)', '(33, 3)', '(19, 13)', '(35, 9)', '(24, 9)', '(16, 5)', '(29, 8)', '(31, 5)', '(23, 1)', '(22, 11)', '(21, 13)', '(14, 7)', '(33, 5)', '(35, 2)', '(25, 1)', '(35, 11)', '(16, 7)', '(29, 1)', '(31, 7)', '(21, 6)', '(23, 3)', '(21, 15)', '(27, 3)', '(19, 8)', '(33, 7)', '(35, 4)', '(13, 4)', '(25, 3)', '(29, 3)', '(31, 9)', '(21, 8)', '(23, 5)', '(27, 5)', '(19, 1)', '(17, 13)', '(33, 9)', '(25, 5)', '(29, 5)', '(31, 2)', '(21, 1)', '(31, 11)', '(23, 7)', '(27, 7)', '(17, 6)', '(19, 3)', '(19, 12)', '(33, 11)', '(25, 7)', '(15, 8)', '(29, 7)', '(31, 4)', '(22, 1)', '(21, 3)', '(20, 13)', '(18, 13)', '(21, 12)', '(23, 9)', '(30, 5)', '(33, 4)', '(19, 5)', '(25, 9)', '(15, 1)', '(15, 10)', '(29, 9)', '(31, 6)', '(21, 5)', '(23, 2)', '(21, 14)', '(27, 2)', '(28, 1)', '(17, 1)', '(22, 15)', '(17, 10)', '(26, 3)', '(15, 3)', '(15, 12)', '(29, 11)', '(21, 7)']",49,0,49
142,"(19, 7)","(19, 8)",South,"[('(19, 8)', 'North', 1)]","['(23, 11)', '(23, 15)', '(19, 7)']","['(23, 11)', '(23, 15)']","['(34, 1)', '(27, 4)', '(28, 3)', '(17, 3)', '(14, 13)', '(17, 12)', '(19, 9)', '(32, 3)', '(15, 5)', '(29, 4)', '(16, 13)', '(21, 9)', '(34, 3)', '(27, 6)', '(17, 5)', '(30, 11)', '(19, 11)', '(35, 1)', '(24, 1)', '(35, 10)', '(15, 7)', '(18, 3)', '(22, 3)', '(28, 7)', '(17, 7)', '(33, 6)', '(35, 3)', '(24, 3)', '(13, 3)', '(15, 9)', '(18, 5)', '(31, 8)', '(34, 7)', '(27, 1)', '(17, 9)', '(32, 9)', '(35, 5)', '(24, 5)', '(25, 4)', '(15, 2)', '(16, 1)', '(13, 5)', '(15, 11)', '(31, 1)', '(20, 1)', '(31, 10)', '(34, 9)', '(22, 7)', '(14, 3)', '(17, 11)', '(33, 1)', '(33, 10)', '(35, 7)', '(24, 7)', '(25, 6)', '(16, 3)', '(15, 4)', '(13, 7)', '(15, 13)', '(18, 9)', '(31, 3)', '(20, 3)', '(21, 11)', '(23, 8)', '(33, 3)', '(19, 13)', '(35, 9)', '(24, 9)', '(16, 5)', '(29, 8)', '(31, 5)', '(23, 1)', '(22, 11)', '(21, 13)', '(14, 7)', '(33, 5)', '(35, 2)', '(25, 1)', '(35, 11)', '(16, 7)', '(29, 1)', '(31, 7)', '(21, 6)', '(23, 3)', '(21, 15)', '(27, 3)', '(19, 8)', '(33, 7)', '(35, 4)', '(13, 4)', '(25, 3)', '(29, 3)', '(31, 9)', '(21, 8)', '(23, 5)', '(27, 5)', '(19, 1)', '(17, 13)', '(33, 9)', '(25, 5)', '(29, 5)', '(31, 2)', '(21, 1)', '(31, 11)', '(23, 7)', '(27, 7)', '(17, 6)', '(19, 3)', '(19, 12)', '(33, 11)', '(25, 7)', '(15, 8)', '(29, 7)', '(31, 4)', '(22, 1)', '(21, 3)', '(20, 13)', '(18, 13)', '(21, 12)', '(23, 9)', '(30, 5)', '(33, 4)', '(19, 5)', '(25, 9)', '(15, 1)', '(15, 10)', '(29, 9)', '(31, 6)', '(21, 5)', '(23, 2)', '(21, 14)', '(27, 2)', '(28, 1)', '(17, 1)', '(22, 15)', '(17, 10)', '(19, 7)', '(26, 3)', '(15, 3)', '(15, 12)', '(29, 11)', '(21, 7)']",50,0,50
